entity1,relation,entity2
euphorbia noun,member meronym,sun spurge noun
society noun,member meronym,social organization noun
overcast noun,derivationally related form,overcast verb
open noun,hypernym,area noun
real adjective,also see,genuine adjective
prang verb,hypernym,crash verb
flip-flop noun,hypernym,somersault noun
genus lespedeza noun,hypernym,rosid dicot genus noun
counteract verb,derivationally related form,counterbalance noun
palestine islamic jihad noun,synset domain topic of,terrorism noun
galaxy noun,member meronym,star noun
negotiable instrument noun,hypernym,legal document noun
talpidae noun,member meronym,uropsilus noun
limb noun,hypernym,extremity noun
promethazine noun,hypernym,antiemetic noun
pad verb,derivationally related form,padding noun
conglutinate verb,hypernym,cling verb
coat noun,hypernym,overgarment noun
souse verb,derivationally related form,alcoholism noun
range verb,hypernym,arrange verb
principality noun,derivationally related form,prince noun
nepal noun,has part,dhaulagiri noun
lieutenant general noun,hypernym,general officer noun
cricetidae noun,member meronym,baiomys noun
pirate verb,derivationally related form,plagiarism noun
retention noun,hypernym,possession noun
briefcase noun,hypernym,case noun
order noun,hypernym,commercial document noun
stretch noun,hypernym,exercise noun
spiranthes noun,hypernym,monocot genus noun
canoe verb,derivationally related form,canoe noun
negociate verb,derivationally related form,negotiator noun
oligodontia noun,hypernym,genetic disease noun
stock verb,derivationally related form,store noun
bimbo noun,hypernym,girl noun
citrophilous mealybug noun,hypernym,mealybug noun
garlic mustard noun,hypernym,crucifer noun
total verb,derivationally related form,number noun
conductor noun,hypernym,device noun
cleaning pad noun,hypernym,pad noun
susurrate verb,hypernym,murmur verb
distribution law noun,synset domain topic of,chemistry noun
promote verb,derivationally related form,acme noun
insignificant adjective,also see,meaningless adjective
gunsight noun,has part,finder noun
misanthrope noun,hypernym,grouch noun
judge verb,derivationally related form,adjudicator noun
united kingdom noun,member of domain region,greengrocer noun
oxbridge noun,hypernym,university noun
sag verb,derivationally related form,sag noun
neurotic noun,hypernym,sick person noun
bait noun,derivationally related form,decoy verb
gilbert islands noun,member of domain region,tarawa noun
storm verb,hypernym,penetrate verb
providence noun,hypernym,fortune noun
jamaat ul-fuqra noun,instance hypernym,terrorist organization noun
tansy noun,hypernym,composite noun
wild carrot noun,hypernym,wildflower noun
compositae noun,member meronym,pilosella noun
papaveraceae noun,member meronym,eschscholtzia noun
united kingdom noun,member of domain region,hard shoulder noun
judgeship noun,hypernym,position noun
nonaccomplishment noun,hypernym,act noun
show verb,derivationally related form,show noun
alert noun,hypernym,readiness noun
crump verb,derivationally related form,thump noun
croton noun,hypernym,shrub noun
denier noun,derivationally related form,deny verb
office noun,derivationally related form,officiate verb
uvea noun,hypernym,structure noun
idea noun,derivationally related form,think verb
necrosis noun,hypernym,death noun
trim verb,verb group,dress verb
hygrophoraceae noun,member meronym,waxycap noun
unleash verb,hypernym,let go of verb
supervision noun,hypernym,management noun
vanilla noun,hypernym,flavorer noun
vary verb,derivationally related form,assortment noun
mastigophora noun,member meronym,flagellate noun
shoulder noun,derivationally related form,shoulder verb
united kingdom noun,member of domain region,boot noun
reconciliation noun,derivationally related form,harmonize verb
curse verb,derivationally related form,damnation noun
wrinkle noun,derivationally related form,furrow verb
estimate verb,derivationally related form,appraisal noun
frequent verb,derivationally related form,frequent adjective
explore verb,derivationally related form,exploratory adjective
abortion noun,hypernym,termination noun
wave noun,hypernym,weather noun
ustilaginales noun,member meronym,ustilaginaceae noun
campania noun,instance hypernym,italian region noun
condense verb,verb group,condense verb
circulatory system noun,has part,liver noun
err verb,derivationally related form,mistake noun
moderatorship noun,derivationally related form,moderator noun
capital noun,derivationally related form,capitalize verb
cotingidae noun,hypernym,bird family noun
wyoming noun,has part,bighorn noun
helm noun,hypernym,steering system noun
loxostege noun,hypernym,arthropod genus noun
check verb,hypernym,obstruct verb
shred verb,derivationally related form,rag noun
pursue verb,hypernym,react verb
hood noun,hypernym,neighborhood noun
peel off verb,hypernym,chip verb
fleshiness noun,hypernym,fatness noun
world war i noun,has part,ypres noun
bit noun,derivationally related form,chip verb
snip noun,hypernym,piece noun
disparagement noun,member of domain usage,pickaninny noun
steer verb,derivationally related form,guidance noun
acinus noun,hypernym,sac noun
voice noun,derivationally related form,voice verb
archdeacon noun,synset domain topic of,anglican church noun
right verb,derivationally related form,redress noun
own verb,verb group,have verb
decarbonize verb,hypernym,remove verb
startle verb,derivationally related form,startle noun
eosinophil noun,hypernym,leukocyte noun
apis noun,member meronym,honeybee noun
protest march noun,synset domain topic of,government noun
torture noun,derivationally related form,torture verb
sit down verb,verb group,sit verb
vivification noun,derivationally related form,quicken verb
backpack verb,synset domain topic of,sport noun
marry verb,verb group,marry verb
thermodynamics noun,hypernym,physics noun
fruiterer noun,derivationally related form,fruit noun
audubon's warbler noun,hypernym,new world warbler noun
waste noun,derivationally related form,waste verb
warning of war noun,synset domain topic of,military noun
kabbalism noun,hypernym,doctrine noun
recover verb,derivationally related form,recovery noun
subtraction noun,hypernym,decrease noun
exhaust noun,hypernym,waste noun
duplicate noun,derivationally related form,duplicate verb
drool over verb,hypernym,idolize verb
desirable adjective,also see,lovable adjective
high command noun,hypernym,leadership noun
cakewalk noun,hypernym,accomplishment noun
golf club noun,derivationally related form,club verb
quitter noun,derivationally related form,drop out verb
selector noun,hypernym,switch noun
idleness noun,derivationally related form,idle verb
cytology noun,hypernym,biology noun
reproduction noun,derivationally related form,reproduce verb
professionalization noun,derivationally related form,professionalize verb
terabyte noun,hypernym,computer memory unit noun
provoke verb,derivationally related form,provocation noun
quechua noun,derivationally related form,quechuan adjective
dawdler noun,derivationally related form,linger verb
blossoming noun,derivationally related form,bloom verb
electrophoridae noun,hypernym,fish family noun
till verb,synset domain topic of,farming noun
invitation noun,derivationally related form,receive verb
sex chromosome noun,hypernym,chromosome noun
slang noun,member of domain usage,kraut noun
rage noun,derivationally related form,rage verb
hex noun,hypernym,spell noun
strengthener noun,derivationally related form,strengthen verb
locate verb,hypernym,find verb
liliid monocot genus noun,hypernym,monocot genus noun
travel verb,derivationally related form,locomotion noun
axillary adjective,derivationally related form,armpit noun
inset verb,derivationally related form,insert noun
leaner noun,hypernym,throw noun
rectorship noun,hypernym,position noun
undoer noun,hypernym,person noun
martinet noun,hypernym,authoritarian noun
gilt noun,hypernym,coating noun
bum verb,hypernym,idle verb
drive verb,verb group,drive verb
prunus noun,member meronym,nectarine noun
denali fault noun,instance hypernym,fault noun
mimosoideae noun,member meronym,enterolobium noun
happen verb,derivationally related form,materialization noun
progress verb,derivationally related form,progress noun
crimea noun,instance hypernym,peninsula noun
india noun,member of domain region,hinduism noun
fat noun,hypernym,lipid noun
academician noun,derivationally related form,academy noun
gross profit noun,synset domain topic of,corporate finance noun
maximize verb,derivationally related form,utmost noun
cart noun,has part,axletree noun
function noun,derivationally related form,map verb
number verb,derivationally related form,enumeration noun
phanerozoic noun,has part,cenozoic noun
adenota noun,hypernym,mammal genus noun
gnetopsida noun,member meronym,gnetales noun
junior noun,hypernym,person noun
milk verb,derivationally related form,milk noun
water crowfoot noun,hypernym,aquatic plant noun
liliaceae noun,member meronym,aloeaceae noun
scrape verb,hypernym,roll up verb
geographic point noun,hypernym,point noun
dipodidae noun,member meronym,jerboa noun
pay verb,hypernym,digest verb
egoism noun,derivationally related form,egocentric noun
colubridae noun,member meronym,potamophis noun
erinaceus noun,member meronym,hedgehog noun
cairo noun,member meronym,cairene noun
eunuch noun,hypernym,man noun
tie down verb,hypernym,restrain verb
enable verb,hypernym,change verb
donor noun,derivationally related form,give verb
rag noun,hypernym,practical joke noun
transfer noun,derivationally related form,transfer verb
assume verb,hypernym,take verb
mantra noun,synset domain topic of,hinduism noun
choke verb,derivationally related form,choking noun
worship noun,hypernym,love noun
racer noun,has part,cockpit noun
sialis noun,member meronym,alderfly noun
